order,pollutant,station,timing,type,value
0.0,NO2,all,weeks,air,12.804394597457637
1.0,NO2,all,weeks,air,11.703854294803847
2.0,NO2,all,weeks,air,10.09785119418486
3.0,NO2,all,weeks,air,8.519373480083871
4.0,NO2,all,weeks,air,7.70060408376963
5.0,NO2,all,weeks,air,7.9977616753926775
6.0,NO2,all,weeks,air,9.350580314136131
7.0,NO2,all,weeks,air,10.99659371727751
8.0,NO2,all,weeks,air,13.09237790575919
9.0,NO2,all,weeks,air,15.026299477533993
10.0,NO2,all,weeks,air,15.760843167701905
11.0,NO2,all,weeks,air,15.326831288343595
12.0,NO2,all,weeks,air,14.94813465045597
13.0,NO2,all,weeks,air,14.738548787878807
14.0,NO2,all,weeks,air,14.95593249243194
15.0,NO2,all,weeks,air,16.046984359233125
16.0,NO2,all,weeks,air,17.5536132189708
17.0,NO2,all,weeks,air,17.693227043390547
18.0,NO2,all,weeks,air,16.881176791120115
19.0,NO2,all,weeks,air,16.349981313131345
20.0,NO2,all,weeks,air,15.616000707785663
21.0,NO2,all,weeks,air,14.207575353535395
22.0,NO2,all,weeks,air,12.149326449643993
23.0,NO2,all,weeks,air,10.275458350305543
24.0,NO2,all,weeks,air,12.51664004767583
25.0,NO2,all,weeks,air,11.37167625298332
26.0,NO2,all,weeks,air,10.432662068965529
27.0,NO2,all,weeks,air,10.231048390941606
28.0,NO2,all,weeks,air,10.31329282296652
29.0,NO2,all,weeks,air,11.992574940047975
30.0,NO2,all,weeks,air,14.399167961165075
31.0,NO2,all,weeks,air,16.78670804878049
32.0,NO2,all,weeks,air,18.221425243902427
33.0,NO2,all,weeks,air,19.29583876811596
34.0,NO2,all,weeks,air,19.146140371229716
35.0,NO2,all,weeks,air,18.89960793140411
36.0,NO2,all,weeks,air,18.85020313479627
37.0,NO2,all,weeks,air,18.9795806652807
38.0,NO2,all,weeks,air,18.554819854469905
39.0,NO2,all,weeks,air,19.570464241164284
40.0,NO2,all,weeks,air,21.004181185031264
41.0,NO2,all,weeks,air,21.52773419958427
42.0,NO2,all,weeks,air,21.038403946002163
